node_id	name	MXR_score	MXR_rank	Hetionet_score	Hetionet_rank	category	phcodb
Compound_DB00996	Gabapentin	0.002272543111217	0	0.477	6	AIGD	DM
Compound_DB00313	Valproic Acid	0.0021572190080371	1	0.409	10	AIGD	DM
Compound_DB00273	Topiramate	0.0021475117642373	2	0.603	0	AIGD	DM
Compound_DB00252	Phenytoin	0.0020754509069302	3	0.362	14	AIGD	DM
Compound_DB01174	Phenobarbital	0.0020269785751087	4	0.0971	46	AIGD	DM
Compound_DB00564	Carbamazepine	0.0020136414405976	5	0.341	18	AIGD	DM
Compound_DB06218	Lacosamide	0.0020011452787628	6	0.248	25	AIGD	DM
Compound_DB00347	Trimethadione	0.0020004286776627	7	0.0701	61	AIGD	DM
Compound_DB01068	Clonazepam	0.001993291783759	8	0.354	16	AIGD	DM
Compound_DB00555	Lamotrigine	0.001973980446652	10	0.222	27	AIGD	DM
Compound_DB00794	Primidone	0.0019715081895566	11	0.494	4	AIGD	DM
Compound_DB00829	Diazepam	0.0019714499610791	12	0.46	7	AIGD	DM
Compound_DB00819	Acetazolamide	0.0019710694115326	13	0.0527	69	AIGD	DM
Compound_DB00349	Clobazam	0.0019657339600168	14	0.214	28	AIGD	DM
Compound_DB00230	Pregabalin	0.0019630453464795	15	0.0347	83	AIGD	DM
Compound_DB00776	Oxcarbazepine	0.0019603559622489	16	0.354	17	AIGD	DM
Compound_DB00683	Midazolam	0.0019505428490482	17	0.33	19	AIGD	DM
Compound_DB01351	Amobarbital	0.0019471123570777	18	0.085	49	AIGD	DM
Compound_DB00909	Zonisamide	0.0019386528888942	19	0.127	33	AIGD	DM
Compound_DB01320	Fosphenytoin	0.0019382285161142	20	0.246	26	AIGD	DM
Compound_DB00949	Felbamate	0.0019382160128356	21	0.282	22	AIGD	DM
Compound_DB01202	Levetiracetam	0.0019172842983308	22	0.123	34	AIGD	DM
Compound_DB06201	Rufinamide	0.0019024409354216	24	0.0305	96	AIGD	DM
Compound_DB00617	Paramethadione	0.0003344218411337	27	0.0469	73	AIGD	
Compound_DB06716	Fospropofol	0.0003311561276087	28	0.102	41	AIGD	
Compound_DB00703	Methazolamide	0.0003304218382934	29	0.0657	64	AIGD	
Compound_DB00241	Butalbital	0.0002584294059781	30	0.0833	50	AIGD	
Compound_DB00321	Amitriptyline	0.0002393270127076	35	0.252	24	IGD	
Compound_DB00434	Cyproheptadine	0.000232267700307	38	0.0397	78	IGD	
Compound_DB01435	Antipyrine	0.0002272162536626	41	0.0401	77	IGD	
Compound_DB00661	Verapamil	0.0002161348083094	47	0.0463	74	AIGD	
Compound_DB00849	Methylphenobarbital	0.0001631010767708	64	0.114	36	AIGD	
Compound_DB05246	Methsuximide	0.0001440624890147	65	0.434	8	AIGD	
Compound_DB00745	Modafinil	0.0001111174926826	68	0.0503	71	AIGD	
Compound_DB01121	Phenacemide	0.0001109653829554	69	0.0324	92	AIGD	
Compound_DB00754	Ethotoin	0.0001045826040527	70	0.589	1	AIGD	
Compound_DB01437	Glutethimide	0.0001044746189063	71	0.0805	54	UNKD	
Compound_DB00832	Phensuximide	9.28798953082799e-05	72	0.0487	72	AIGD	
Compound_DB00312	Pentobarbital	8.739570355241077e-05	74	0.147	29	AIGD	
Compound_DB00306	Talbutal	8.664170400526432e-05	75	0.115	35	AIGD	
Compound_DB00237	Butabarbital	8.653666358987187e-05	76	0.133	30	AIGD	
Compound_DB00418	Secobarbital	8.408097752130746e-05	78	0.132	31	AIGD	
Compound_DB01353	Butethal	8.34605446042552e-05	79	0.104	39	AIGD	
Compound_DB01352	Aprobarbital	8.304783572734266e-05	80	0.0995	43	AIGD	
Compound_DB01354	Heptabarbital	7.279095037825792e-05	83	0.107	37	AIGD	
Compound_DB00404	Alprazolam	6.593470467636386e-05	85	0.565	3	AIGD	
Compound_DB00897	Triazolam	6.439187807047276e-05	86	0.402	11	AIGD	
Compound_DB01215	Estazolam	6.425671277276302e-05	87	0.43	9	AIGD	
Compound_DB00842	Oxazepam	6.411015179232922e-05	88	0.381	12	AIGD	
Compound_DB00690	Flurazepam	6.318956901385687e-05	89	0.289	20	AIGD	
Compound_DB00628	Clorazepate	6.309223723154409e-05	90	0.362	15	AIGD	
Compound_DB01567	Fludiazepam	6.110679328432723e-05	91	0.0877	48	AIGD	
Compound_DB01588	Prazepam	5.995389859799392e-05	93	0.0829	51	AIGD	
Compound_DB00186	Lorazepam	5.94019567355066e-05	94	0.489	5	AIGD	
Compound_DB00801	Halazepam	5.7827147987361406e-05	95	0.0978	45	AIGD	
Compound_DB01544	Flunitrazepam	5.60289216816949e-05	96	0.0756	58	AIGD	
Compound_DB01154	Thiamylal	5.385812105084184e-05	98	0.0814	52	AIGD	
Compound_DB00231	Temazepam	5.2165720505427794e-05	99	0.375	13	AIGD	
