1:1646875:1842500	1:2112500:2342500
1:2112500:2342500	1:2347500:2608125
1:2347500:2608125	1:3763750:4396250
1:3763750:4396250	1:4429375:5535000
1:4429375:5535000	1:5540000:6022500
1:5540000:6022500	1:6752500:7027500
1:6752500:7027500	1:8401250:9018750
1:8401250:9018750	1:9236250:9560625
1:9236250:9560625	1:10567500:11048750
1:10567500:11048750	1:11068750:11712500
1:11068750:11712500	1:12127500:12287500
1:12127500:12287500	1:12312500:13340000
1:12312500:13340000	1:13630000:14152500
1:13630000:14152500	1:14157500:14295000
1:14157500:14295000	1:14300000:15587500
1:14300000:15587500	1:15806875:16092500
1:15806875:16092500	1:16097500:16381875
1:16097500:16381875	1:16392500:16897500
1:16392500:16897500	1:17947500:18808125
1:17947500:18808125	1:19202500:19383125
1:19202500:19383125	1:19396250:19577500
1:19396250:19577500	1:19582500:20062500
1:19582500:20062500	1:20182500:20550000
1:20182500:20550000	1:20617500:20839375
1:20617500:20839375	1:20980000:21526250
1:20980000:21526250	1:21538750:21781250
1:21538750:21781250	1:22332500:22450000
1:22332500:22450000	1:24092500:24302500
1:24092500:24302500	1:24375000:24730000
1:24375000:24730000	1:24735000:24972500
1:24735000:24972500	1:24977500:25162500
1:24977500:25162500	1:25167500:25590625
1:25167500:25590625	1:25638125:26147500
1:25638125:26147500	1:26152500:26377500
1:26152500:26377500	1:26492500:26807500
1:26492500:26807500	1:26812500:27240625
1:26812500:27240625	1:27715000:28142500
1:27715000:28142500	1:28147500:28562500
1:28147500:28562500	1:29197500:29567500
1:29197500:29567500	1:29585000:31077500
1:29585000:31077500	1:31177500:31415000
1:31177500:31415000	1:31614375:32055000
1:31614375:32055000	1:32665000:32907500
1:32665000:32907500	1:33372500:33575000
1:33372500:33575000	1:34090000:35232500
1:34090000:35232500	1:36342500:36547500
1:36342500:36547500	1:36552500:36937500
1:36552500:36937500	1:36947500:37912500
1:36947500:37912500	1:37945000:38172500
1:37945000:38172500	1:38457500:39310000
1:38457500:39310000	1:39472500:39737500
1:39472500:39737500	1:39742500:40047500
1:39742500:40047500	1:40052500:40227500
1:40052500:40227500	1:40490000:41020000
1:40490000:41020000	1:41717500:41892500
1:41717500:41892500	1:41897500:42642500
1:41897500:42642500	1:43235000:43362500
1:43235000:43362500	1:43367500:43642500
1:43367500:43642500	1:43672500:43955000
1:43672500:43955000	1:45446875:45795000
1:45446875:45795000	1:45800000:46122500
1:45800000:46122500	1:46486875:46698750
1:46486875:46698750	1:46867500:47285000
1:46867500:47285000	1:49125000:49492500
1:49125000:49492500	1:51182500:51750000
1:51182500:51750000	1:51795000:52485000
1:51795000:52485000	1:52802500:53495000
1:52802500:53495000	1:54427500:55377500
1:54427500:55377500	1:55497500:55757500
1:55497500:55757500	1:55817500:57257500
1:55817500:57257500	1:57337500:58947500
1:57337500:58947500	1:58952500:59115000
1:58952500:59115000	1:59120000:60417500
1:59120000:60417500	1:60427500:61200000
1:60427500:61200000	1:62870000:63262500
1:62870000:63262500	1:63315000:63775000
1:63315000:63775000	1:64045000:64722500
1:64045000:64722500	1:65122500:65308125
1:65122500:65308125	1:65314375:65592500
1:65314375:65592500	1:66345000:66627500
1:66345000:66627500	1:66667500:66980000
1:66667500:66980000	1:67220000:67660000
1:67220000:67660000	1:67672500:67982500
1:67672500:67982500	1:67992500:68307500
1:67992500:68307500	1:68492500:69012500
1:68492500:69012500	1:69035000:70412500
1:69035000:70412500	1:70587500:71012500
1:70587500:71012500	1:71050000:71587500
1:71050000:71587500	1:73622500:73985000
1:73622500:73985000	1:75575000:76097500
1:75575000:76097500	1:76925000:77612500
1:76925000:77612500	1:77617500:78025000
1:77617500:78025000	1:78595000:79202500
1:78595000:79202500	1:80655000:81458750
1:80655000:81458750	1:82585000:83757500
1:82585000:83757500	1:83779375:84335000
1:83779375:84335000	1:84340000:84900000
1:84340000:84900000	1:84905000:85372500
1:84905000:85372500	1:85382500:85740000
1:85382500:85740000	1:86795000:87175000
1:86795000:87175000	1:87260000:87587500
1:87260000:87587500	1:87592500:88632500
1:87592500:88632500	1:89098750:89352500
1:89098750:89352500	1:89357500:89935000
1:89357500:89935000	1:89940000:90075000
1:89940000:90075000	1:90080000:90520000
1:90080000:90520000	1:90952500:91312500
1:90952500:91312500	1:91317500:91760000
1:91317500:91760000	1:91905000:92432500
1:91905000:92432500	1:92442500:92690000
1:92442500:92690000	1:92700000:93190000
1:92700000:93190000	1:93275000:93542500
1:93275000:93542500	1:93547500:93752500
1:93547500:93752500	1:94070000:94410000
1:94070000:94410000	1:94415000:94792500
1:94415000:94792500	1:94875000:95302500
1:94875000:95302500	1:95307500:95537500
1:95307500:95537500	1:99037500:100197500
1:99037500:100197500	1:100202500:101007500
1:100202500:101007500	1:101012500:101347500
1:101012500:101347500	1:101352500:102090000
1:101352500:102090000	1:104270625:106220000
1:104270625:106220000	1:106337500:106707500
1:106337500:106707500	1:107727500:108127500
1:107727500:108127500	1:108270000:108857500
1:108270000:108857500	1:109285000:109485000
1:109285000:109485000	1:109752500:109960000
1:109752500:109960000	1:110170000:110570000
1:110170000:110570000	1:111060000:111327500
1:111060000:111327500	1:111552500:112000000
1:111552500:112000000	1:112040000:112367500
1:112040000:112367500	1:112417500:112882500
1:112417500:112882500	1:112887500:113257500
1:112887500:113257500	1:113375000:113628750
1:113375000:113628750	1:113635000:114255000
1:113635000:114255000	1:114272500:114535000
1:114272500:114535000	1:115492500:115675000
1:115492500:115675000	1:116640000:117147500
1:116640000:117147500	1:117152500:117607500
1:117152500:117607500	1:118572500:119630625
1:118572500:119630625	1:144400000:145187500
1:144400000:145187500	1:145312500:145896875
1:145312500:145896875	1:146180625:146717500
1:146180625:146717500	1:146727500:148131875
1:146727500:148131875	1:149202500:150032500
1:149202500:150032500	1:150037500:150206250
1:150037500:150206250	1:150218750:150982500
1:150218750:150982500	1:151012500:151232500
1:151012500:151232500	1:151405000:152020000
1:151405000:152020000	1:152025000:152161250
1:152025000:152161250	1:152173750:152490000
1:152173750:152490000	1:152742500:153312500
1:152742500:153312500	1:153465000:153967500
1:153465000:153967500	1:154340000:154902500
1:154340000:154902500	1:155165000:155592500
1:155165000:155592500	1:156054375:156317500
1:156054375:156317500	1:156997500:157465000
1:156997500:157465000	1:157475000:157932500
1:157475000:157932500	1:157937500:158105000
1:157937500:158105000	1:158110000:158453750
1:158110000:158453750	1:158512500:159087500
1:158512500:159087500	1:159235000:159732500
1:159235000:159732500	1:159737500:160035000
1:159737500:160035000	1:160275000:160617500
1:160275000:160617500	1:160640000:161136250
1:160640000:161136250	1:161158750:161413125
1:161158750:161413125	1:161434375:161760000
1:161434375:161760000	1:162786875:163327500
1:162786875:163327500	1:165285000:165570000
1:165285000:165570000	1:165575000:165996250
1:165575000:165996250	1:166802500:167020000
1:166802500:167020000	1:167187500:167560000
1:167187500:167560000	1:169332500:169882500
1:169332500:169882500	1:171425000:171567500
1:171425000:171567500	1:171962500:172567500
1:171962500:172567500	1:172695000:173392500
1:172695000:173392500	1:173397500:173827500
1:173397500:173827500	1:173900000:174212500
1:173900000:174212500	1:174217500:174727500
1:174217500:174727500	1:174732500:174997500
1:174732500:174997500	1:176802500:177355000
1:176802500:177355000	1:177375000:178035000
1:177375000:178035000	1:178460000:179042500
1:178460000:179042500	1:179047500:179387500
1:179047500:179387500	1:179777500:180190000
