node_id	name	name	MXR_score	MXR_rank	n_trials
Compound_DB00818	Propofol		0.0009932320787261	10.0	2.0
Compound_DB01080	Vigabatrin		0.0009581763208168	23.0	6.0
Compound_DB01031	Ethinamate		0.0001967983541227	25.0	
Compound_DB00517	Anisotropine Methylbromide		0.0001856575075325	26.0	
Compound_DB00669	Sumatriptan		0.0001601737116225	30.0	
Compound_DB00918	Almotriptan		0.0001590919769305	31.0	
Compound_DB00216	Eletriptan		0.0001545476447532	33.0	
Compound_DB00315	Zolmitriptan		0.0001508792913948	34.0	
Compound_DB00953	Rizatriptan		0.0001463297812066	36.0	
Compound_DB00696	Ergotamine		0.0001453764506698	37.0	
Compound_DB00952	Naratriptan		0.0001439879906706	38.0	
Compound_DB00924	Cyclobenzaprine		0.0001435880178882	39.0	
Compound_DB00320	Dihydroergotamine		0.0001364706405777	42.0	
Compound_DB00353	Methylergometrine		0.0001358865734685	43.0	
Compound_DB00788	Naproxen		0.0001356406542999	44.0	
Compound_DB00586	Diclofenac		0.0001356312186291	45.0	1.0
Compound_DB01173	Orphenadrine		0.0001352452938742	46.0	
Compound_DB00697	Tizanidine		0.0001338388689708	48.0	
Compound_DB00328	Indomethacin		0.0001336496277738	49.0	
Compound_DB00571	Propranolol		0.0001334094951022	50.0	
Compound_DB00201	Caffeine		0.0001333606384505	51.0	
Compound_DB00945	Acetylsalicylic acid		0.0001328981055889	52.0	
Compound_DB00635	Prednisone		0.0001325442914482	53.0	
Compound_DB01233	Metoclopramide		0.0001324185253009	54.0	
Compound_DB00316	Acetaminophen		0.0001318867890311	55.0	
Compound_DB00998	Frovatriptan		0.0001317998867294	56.0	
Compound_DB00373	Timolol		0.000130996283715	57.0	
Compound_DB00149	L-Leucine		0.0001066676603423	58.0	
Compound_DB00130	L-Glutamine		0.0001033138100431	59.0	
Compound_DB00161	L-Valine		0.0001029817481698	60.0	
Compound_DB06775	Carglumic Acid		0.0001000128516056	61.0	
Compound_DB00205	Pyrimethamine		8.342324643058051e-05	62.0	
Compound_DB00384	Triamterene		8.31376205503534e-05	63.0	
Compound_DB00498	Phenindione		6.159415712695735e-05	66.0	
Compound_DB00120	L-Phenylalanine		5.634374535235032e-05	68.0	
Compound_DB00575	Clonidine		5.359972587559517e-05	70.0	
Compound_DB00676	Benzyl Benzoate		4.5835969028408734e-05	74.0	
Compound_DB00423	Methocarbamol		4.2540411537750536e-05	79.0	
Compound_DB00812	Phenylbutazone		4.072753929420382e-05	82.0	
Compound_DB00268	Ropinirole		4.026381925764528e-05	83.0	1.0
Compound_DB01235	L-DOPA		3.878424411508466e-05	84.0	
Compound_DB00413	Pramipexole		3.830903205844356e-05	85.0	
Compound_DB00190	Carbidopa		3.776793496430136e-05	86.0	
Compound_DB00193	Tramadol		3.7536997180225547e-05	87.0	
Compound_DB00561	Doxapram		3.500135366405555e-05	89.0	
Compound_DB01511	Delorazepam		3.042071184176986e-05	98.0	
Compound_DB01545	Ethyl loflazepate		2.159089486031773e-05	110.0	
