Gene::701	Pathway::PC7_6941
Gene::1636	Pathway::PC7_5330
Gene::84335	Pathway::PC7_6994
Gene::9542	Pathway::PC7_2926
Gene::7471	Pathway::WP560_r83868
Gene::6130	Pathway::WP477_r67139
Gene::5604	Pathway::PC7_7457
Gene::2687	Pathway::PC7_5322
Gene::2780	Pathway::PC7_11018
Gene::8334	Pathway::PC7_4334
Gene::417	Pathway::PC7_4741
Gene::8074	Pathway::PC7_3821
Gene::9491	Pathway::PC7_7439
Gene::3725	Pathway::PC7_8295
Gene::259292	Pathway::PC7_3992
Gene::3845	Pathway::PC7_8431
Gene::5707	Pathway::PC7_2952
Gene::3955	Pathway::PC7_6562
Gene::64426	Pathway::PC7_4112
Gene::54209	Pathway::PC7_7425
Gene::140766	Pathway::PC7_3777
Gene::1445	Pathway::WP437_r79266
Gene::999	Pathway::PC7_1573
Gene::5578	Pathway::PC7_4001
Gene::8310	Pathway::PC7_2073
Gene::1671	Pathway::PC7_1596
Gene::728441	Pathway::PC7_1581
Gene::5684	Pathway::PC7_4467
Gene::282775	Pathway::PC7_6044
Gene::6500	Pathway::PC7_7483
Gene::4842	Pathway::WP289_r81078
Gene::3913	Pathway::WP244_r78506
Gene::185	Pathway::PC7_7439
Gene::1847	Pathway::WP382_r79951
Gene::9882	Pathway::PC7_8337
Gene::4092	Pathway::PC7_3323
Gene::5432	Pathway::PC7_8609
Gene::2475	Pathway::PC7_4749
Gene::6176	Pathway::PC7_8712
Gene::5879	Pathway::PC7_7423
Gene::3756	Pathway::PC7_6543
Gene::2549	Pathway::PC7_7445
Gene::6752	Pathway::PC7_3992
Gene::5606	Pathway::PC7_7851
Gene::1592	Pathway::PC7_5322
Gene::2700	Pathway::PC7_4101
Gene::22995	Pathway::PC7_5029
Gene::5928	Pathway::PC7_6519
Gene::4995	Pathway::PC7_6044
Gene::4908	Pathway::PC7_7269
Gene::3065	Pathway::PC7_4619
Gene::8912	Pathway::PC7_1863
Gene::6385	Pathway::PC7_3018
Gene::10413	Pathway::PC7_3700
Gene::5566	Pathway::PC7_8266
Gene::8874	Pathway::PC7_7497
Gene::128367	Pathway::PC7_7457
Gene::3972	Pathway::PC7_2620
Gene::27434	Pathway::PC7_2957
Gene::50650	Pathway::PC7_12280
Gene::9611	Pathway::PC7_5322
Gene::5532	Pathway::WP1528_r78581
Gene::6500	Pathway::PC7_7446
Gene::5437	Pathway::PC7_4741
Gene::9997	Pathway::PC7_6943
Gene::121275	Pathway::PC7_7439
Gene::2966	Pathway::PC7_3968
Gene::29127	Pathway::PC7_6957
Gene::4544	Pathway::WP247_r74422
Gene::5880	Pathway::WP382_r79951
Gene::8353	Pathway::PC7_5271
Gene::5155	Pathway::WP51_r79977
Gene::5296	Pathway::PC7_7478
Gene::607	Pathway::PC7_7483
Gene::3020	Pathway::PC7_6794
Gene::3717	Pathway::PC7_3996
Gene::5879	Pathway::WP1471_r82750
Gene::8556	Pathway::PC7_1128
Gene::5702	Pathway::PC7_2520
Gene::276	Pathway::PC7_2500
Gene::8344	Pathway::PC7_2949
Gene::7422	Pathway::PC7_6903
Gene::991	Pathway::PC7_1132
Gene::335	Pathway::PC7_2576
Gene::7276	Pathway::PC7_3777
Gene::80153	Pathway::PC7_12076
Gene::221823	Pathway::PC7_2500
Gene::1003	Pathway::PC7_8664
Gene::7112	Pathway::PC7_2519
Gene::120793	Pathway::PC7_6044
Gene::6206	Pathway::PC7_3772
Gene::51296	Pathway::PC7_6646
Gene::1002	Pathway::PC7_2527
Gene::398	Pathway::WP524_r72112
Gene::90480	Pathway::PC7_5522
Gene::867	Pathway::PC7_5981
Gene::10383	Pathway::PC7_2534
Gene::5608	Pathway::WP2946_r83779
Gene::53981	Pathway::PC7_8343
Gene::255626	Pathway::PC7_2575
Gene::4331	Pathway::PC7_6791
Gene::3678	Pathway::PC7_4759
Gene::2782	Pathway::PC7_6570
