node_id	name	name	MXR_score	MXR_rank	n_trials
Compound_DB00818	Propofol		0.0019786862725079	9.0	2.0
Compound_DB01080	Vigabatrin		0.0019087819850106	23.0	6.0
Compound_DB01031	Ethinamate		0.0003788966304529	25.0	
Compound_DB00517	Anisotropine Methylbromide		0.0003611713688504	26.0	
Compound_DB00669	Sumatriptan		0.0002561332915078	31.0	
Compound_DB00918	Almotriptan		0.0002541526857237	32.0	
Compound_DB00216	Eletriptan		0.0002470654698987	33.0	
Compound_DB00315	Zolmitriptan		0.0002411104539087	34.0	
Compound_DB00953	Rizatriptan		0.000233750784281	36.0	
Compound_DB00924	Cyclobenzaprine		0.0002330678638751	37.0	
Compound_DB00696	Ergotamine		0.0002321477792207	39.0	
Compound_DB00952	Naratriptan		0.0002300162364198	40.0	
Compound_DB00320	Dihydroergotamine		0.0002179653475166	42.0	
Compound_DB00586	Diclofenac		0.0002173178095614	43.0	1.0
Compound_DB01173	Orphenadrine		0.0002172652402703	44.0	
Compound_DB00788	Naproxen		0.0002171599345454	45.0	
Compound_DB00353	Methylergometrine		0.0002170389006511	46.0	
Compound_DB00571	Propranolol		0.0002138595831359	48.0	
Compound_DB00201	Caffeine		0.0002138496754372	49.0	
Compound_DB00328	Indomethacin		0.0002137815477922	50.0	
Compound_DB00697	Tizanidine		0.0002137006146207	51.0	
Compound_DB00945	Acetylsalicylic acid		0.0002126719166297	52.0	
Compound_DB00635	Prednisone		0.000212643786671	53.0	
Compound_DB01233	Metoclopramide		0.0002117512207053	54.0	
Compound_DB00316	Acetaminophen		0.0002113350772179	55.0	
Compound_DB00998	Frovatriptan		0.0002104926080433	56.0	
Compound_DB00149	L-Leucine		0.0002100512718309	57.0	
Compound_DB00373	Timolol		0.0002094402511064	58.0	
Compound_DB00130	L-Glutamine		0.0002058095235721	59.0	
Compound_DB00161	L-Valine		0.0002027000313238	60.0	
Compound_DB06775	Carglumic Acid		0.0001993119680539	61.0	
Compound_DB00205	Pyrimethamine		0.0001662234658007	62.0	
Compound_DB00384	Triamterene		0.0001656481524196	63.0	
Compound_DB00498	Phenindione		0.0001210200614733	66.0	
Compound_DB00120	L-Phenylalanine		0.0001117391497602	67.0	
Compound_DB00676	Benzyl Benzoate		9.069657840291754e-05	73.0	
Compound_DB00423	Methocarbamol		8.417364926424581e-05	77.0	
Compound_DB00812	Phenylbutazone		8.105685241928193e-05	81.0	
Compound_DB00575	Clonidine		7.54702603141931e-05	82.0	
Compound_DB00561	Doxapram		6.964018167499469e-05	84.0	
Compound_DB01511	Delorazepam		6.037701327021646e-05	92.0	
Compound_DB00268	Ropinirole		5.512376351774989e-05	97.0	1.0
Compound_DB01235	L-DOPA		5.165634295935014e-05	100.0	
Compound_DB00413	Pramipexole		5.137760895155111e-05	101.0	
Compound_DB00193	Tramadol		5.016282503931613e-05	104.0	
