node_id	name	MXR_score	MXR_rank	Hetionet_score	Hetionet_rank	category	n_trials
Compound_DB00996	Gabapentin	0.0032896036569497	0	0.477	6	AIGD	7.0
Compound_DB00313	Valproic Acid	0.0031492854094294	1	0.409	10	AIGD	21.0
Compound_DB00273	Topiramate	0.0031372858899214	2	0.603	0	AIGD	35.0
Compound_DB00252	Phenytoin	0.0031039503562016	3	0.362	14	AIGD	12.0
Compound_DB01174	Phenobarbital	0.0030317249637524	4	0.0971	46	AIGD	7.0
Compound_DB06218	Lacosamide	0.0029934064099201	5	0.248	25	AIGD	34.0
Compound_DB00347	Trimethadione	0.0029919382045887	6	0.0701	61	AIGD	
Compound_DB00564	Carbamazepine	0.002982303851191	7	0.341	18	AIGD	31.0
Compound_DB01068	Clonazepam	0.0029530439224631	9	0.354	16	AIGD	5.0
Compound_DB00555	Lamotrigine	0.0029527859320553	10	0.222	27	AIGD	26.0
Compound_DB00819	Acetazolamide	0.0029489864357284	11	0.0527	69	AIGD	
Compound_DB00829	Diazepam	0.0029487526208397	12	0.46	7	AIGD	6.0
Compound_DB00794	Primidone	0.0029487426703061	13	0.494	4	AIGD	
Compound_DB00349	Clobazam	0.0029368080805001	14	0.214	28	AIGD	8.0
Compound_DB00776	Oxcarbazepine	0.0029311190956561	15	0.354	17	AIGD	16.0
Compound_DB00683	Midazolam	0.0029175677132875	16	0.33	19	AIGD	3.0
Compound_DB01351	Amobarbital	0.0029105227644303	17	0.085	49	AIGD	
Compound_DB00230	Pregabalin	0.0029078494787137	18	0.0347	83	AIGD	
Compound_DB00909	Zonisamide	0.0029018696068581	19	0.127	33	AIGD	14.0
Compound_DB00949	Felbamate	0.0028987546494418	20	0.282	22	AIGD	
Compound_DB01320	Fosphenytoin	0.0028986306185573	21	0.246	26	AIGD	4.0
Compound_DB01202	Levetiracetam	0.0028681956559535	22	0.123	34	AIGD	81.0
Compound_DB06201	Rufinamide	0.0028463056502448	24	0.0305	96	AIGD	
Compound_DB00617	Paramethadione	0.0005003697665065	27	0.0469	73	AIGD	
Compound_DB06716	Fospropofol	0.0004956828333116	28	0.102	41	AIGD	
Compound_DB00703	Methazolamide	0.0004949597256859	29	0.0657	64	AIGD	
