1:2725000:3355000	1:4725000:5552500
1:4725000:5552500	1:6752500:7002500
1:6752500:7002500	1:7722500:7817500
1:7722500:7817500	1:7822500:8018750
1:7822500:8018750	1:8026250:8412500
1:8026250:8412500	1:8417500:8957500
1:8417500:8957500	1:9172500:9560625
1:9172500:9560625	1:10011875:10230000
1:10011875:10230000	1:10262500:10435000
1:10262500:10435000	1:12277500:13340000
1:12277500:13340000	1:13630000:14152500
1:13630000:14152500	1:15857500:16084375
1:15857500:16084375	1:16093125:16380000
1:16093125:16380000	1:16385000:16871875
1:16385000:16871875	1:17382500:17781875
1:17382500:17781875	1:17947500:18562500
1:17947500:18562500	1:18900000:19200000
1:18900000:19200000	1:19205000:19388750
1:19205000:19388750	1:19396250:19577500
1:19396250:19577500	1:19621875:20022500
1:19621875:20022500	1:20182500:20826250
1:20182500:20826250	1:21297500:21526250
1:21297500:21526250	1:22747500:22884375
1:22747500:22884375	1:23002500:23272500
1:23002500:23272500	1:23282500:23799375
1:23282500:23799375	1:24087500:24297500
1:24087500:24297500	1:24403750:24727500
1:24403750:24727500	1:24732500:24972500
1:24732500:24972500	1:25167500:25581250
1:25167500:25581250	1:26147500:26357500
1:26147500:26357500	1:26497500:26780000
1:26497500:26780000	1:26812500:27246250
1:26812500:27246250	1:27270625:27422500
1:27270625:27422500	1:27430000:27630000
1:27430000:27630000	1:27712500:28005000
1:27712500:28005000	1:29197500:29557500
1:29197500:29557500	1:29562500:31177500
1:29562500:31177500	1:31182500:31415000
1:31182500:31415000	1:31608750:32022500
1:31608750:32022500	1:32255000:32547500
1:32255000:32547500	1:32915000:33127500
1:32915000:33127500	1:33152500:33283750
1:33152500:33283750	1:33368750:33557500
1:33368750:33557500	1:34050000:35227500
1:34050000:35227500	1:36027500:36272500
1:36027500:36272500	1:36277500:36547500
1:36277500:36547500	1:36620000:36781250
1:36620000:36781250	1:36793750:36920000
1:36793750:36920000	1:36962500:37902500
1:36962500:37902500	1:37932500:38172500
1:37932500:38172500	1:38497500:39307500
1:38497500:39307500	1:39542500:39737500
1:39542500:39737500	1:39742500:40030000
1:39742500:40030000	1:40281250:40500000
1:40281250:40500000	1:40505000:40920000
1:40505000:40920000	1:41719375:41897500
1:41719375:41897500	1:41902500:42632500
1:41902500:42632500	1:42642500:43227500
1:42642500:43227500	1:43672500:43973750
1:43672500:43973750	1:43981250:44110000
1:43981250:44110000	1:44136250:44450000
1:44136250:44450000	1:44822500:45187500
1:44822500:45187500	1:45217500:45465000
1:45217500:45465000	1:45470000:45792500
1:45470000:45792500	1:46485000:46698750
1:46485000:46698750	1:47007500:47212500
1:47007500:47212500	1:47884375:48242500
1:47884375:48242500	1:48567500:48712500
1:48567500:48712500	1:50820000:51097500
1:50820000:51097500	1:51192500:51680000
1:51192500:51680000	1:51795000:52000000
1:51795000:52000000	1:52005000:52355000
1:52005000:52355000	1:53562500:53702500
1:53562500:53702500	1:53728750:53870000
1:53728750:53870000	1:53875000:54297500
1:53875000:54297500	1:54312500:54440000
1:54312500:54440000	1:55500000:55732500
1:55500000:55732500	1:58967500:59165000
1:58967500:59165000	1:61512500:62477500
1:61512500:62477500	1:62623750:62887500
1:62623750:62887500	1:62892500:63275000
1:62892500:63275000	1:63290000:63774375
1:63290000:63774375	1:63783125:64012500
1:63783125:64012500	1:64017500:64722500
1:64017500:64722500	1:64727500:65155000
1:64727500:65155000	1:65200000:65318750
1:65200000:65318750	1:65326250:65512500
1:65326250:65512500	1:65677500:65895000
1:65677500:65895000	1:65900000:66177500
1:65900000:66177500	1:66350000:66707500
1:66350000:66707500	1:66714375:66977500
1:66714375:66977500	1:67455000:67675000
1:67455000:67675000	1:67680000:67977500
1:67680000:67977500	1:67982500:68280000
1:67982500:68280000	1:68312500:68565000
1:68312500:68565000	1:68570000:68885000
1:68570000:68885000	1:70632500:70980000
1:70632500:70980000	1:70985000:71560000
1:70985000:71560000	1:71565000:71985000
1:71565000:71985000	1:74340000:75215000
1:74340000:75215000	1:75220000:75707500
1:75220000:75707500	1:75745000:76160000
1:75745000:76160000	1:76597500:77612500
1:76597500:77612500	1:77617500:78022500
1:77617500:78022500	1:78027500:78170000
1:78027500:78170000	1:78187500:78585000
1:78187500:78585000	1:78595000:79182500
1:78595000:79182500	1:81050000:82260000
1:81050000:82260000	1:82592500:83805625
1:82592500:83805625	1:83884375:84327500
1:83884375:84327500	1:84585000:84912500
1:84585000:84912500	1:85410000:85742500
1:85410000:85742500	1:85747500:86075000
1:85747500:86075000	1:86305000:86842500
1:86305000:86842500	1:87272500:87572500
1:87272500:87572500	1:87577500:88637500
1:87577500:88637500	1:89095000:89375000
1:89095000:89375000	1:89380000:89935000
1:89380000:89935000	1:89940000:90087500
