node_id	name	MXR_score	MXR_rank	Hetionet_score	Hetionet_rank	category	n_trials
Compound_DB00996	Gabapentin	0.0011805706911887	0	0.477	6	AIGD	7.0
Compound_DB00313	Valproic Acid	0.0011089308748474	1	0.409	10	AIGD	21.0
Compound_DB00273	Topiramate	0.0011033290814298	2	0.603	0	AIGD	35.0
Compound_DB00252	Phenytoin	0.0010420738406245	3	0.362	14	AIGD	12.0
Compound_DB00564	Carbamazepine	0.0010235671283105	4	0.341	18	AIGD	31.0
Compound_DB01174	Phenobarbital	0.001017595096746	5	0.0971	46	AIGD	7.0
Compound_DB01068	Clonazepam	0.0010130456486212	6	0.354	16	AIGD	5.0
Compound_DB06218	Lacosamide	0.0010045478658248	7	0.248	25	AIGD	34.0
Compound_DB00347	Trimethadione	0.0010042899805213	8	0.0701	61	AIGD	
Compound_DB00230	Pregabalin	0.0009977839993263	9	0.0347	83	AIGD	
Compound_DB00555	Lamotrigine	0.0009909126290768	11	0.222	27	AIGD	26.0
Compound_DB00794	Primidone	0.0009897583489984	12	0.494	4	AIGD	
Compound_DB00829	Diazepam	0.0009897175843641	13	0.46	7	AIGD	6.0
Compound_DB00819	Acetazolamide	0.0009892731525371	14	0.0527	69	AIGD	
Compound_DB00349	Clobazam	0.0009879884460288	15	0.214	28	AIGD	8.0
Compound_DB00776	Oxcarbazepine	0.0009845065073061	16	0.354	17	AIGD	16.0
Compound_DB00683	Midazolam	0.0009791919154102	17	0.33	19	AIGD	3.0
Compound_DB01351	Amobarbital	0.000978088864227	18	0.085	49	AIGD	
Compound_DB01320	Fosphenytoin	0.0009731570074886	19	0.246	26	AIGD	4.0
Compound_DB00949	Felbamate	0.0009731090721058	20	0.282	22	AIGD	
Compound_DB00909	Zonisamide	0.0009726002022995	21	0.127	33	AIGD	14.0
Compound_DB01202	Levetiracetam	0.0009623476732593	22	0.123	34	AIGD	81.0
Compound_DB06201	Rufinamide	0.0009548268460197	24	0.0305	96	AIGD	
Compound_DB00617	Paramethadione	0.0001678332808542	27	0.0469	73	AIGD	
Compound_DB06716	Fospropofol	0.0001661290073203	28	0.102	41	AIGD	
Compound_DB00703	Methazolamide	0.0001656380104876	29	0.0657	64	AIGD	
Compound_DB00241	Butalbital	0.00015557085951	32	0.0833	50	AIGD	
Compound_DB00321	Amitriptyline	0.0001466219808871	35	0.252	24	IGD	
Compound_DB00434	Cyproheptadine	0.0001429037193875	40	0.0397	78	IGD	
Compound_DB01435	Antipyrine	0.0001399720519756	41	0.0401	77	IGD	
Compound_DB00661	Verapamil	0.0001344764756641	47	0.0463	74	AIGD	3.0
Compound_DB00849	Methylphenobarbital	8.30163091923919e-05	64	0.114	36	AIGD	
Compound_DB05246	Methsuximide	7.375578408704849e-05	65	0.434	8	AIGD	
Compound_DB00745	Modafinil	5.75421428138194e-05	67	0.0503	71	AIGD	
Compound_DB01121	Phenacemide	5.586253275902757e-05	69	0.0324	92	AIGD	
Compound_DB01437	Glutethimide	5.24983536414593e-05	71	0.0805	54	UNKD	
Compound_DB00754	Ethotoin	5.2434513375409146e-05	72	0.589	1	AIGD	
Compound_DB00832	Phensuximide	4.786999584831723e-05	73	0.0487	72	AIGD	
Compound_DB00312	Pentobarbital	4.438770601581664e-05	75	0.147	29	AIGD	1.0
Compound_DB00237	Butabarbital	4.40168532388723e-05	76	0.133	30	AIGD	
Compound_DB00306	Talbutal	4.399411931400425e-05	77	0.115	35	AIGD	
Compound_DB00418	Secobarbital	4.273947351329066e-05	78	0.132	31	AIGD	
Compound_DB01353	Butethal	4.241535262876197e-05	80	0.104	39	AIGD	
Compound_DB01352	Aprobarbital	4.2247348983624446e-05	81	0.0995	43	AIGD	
Compound_DB01354	Heptabarbital	3.646313910879027e-05	88	0.107	37	AIGD	
Compound_DB00404	Alprazolam	3.313431886873518e-05	90	0.565	3	AIGD	1.0
Compound_DB00897	Triazolam	3.229045373086817e-05	91	0.402	11	AIGD	
Compound_DB01215	Estazolam	3.227133719274374e-05	92	0.43	9	AIGD	
Compound_DB00842	Oxazepam	3.216236592523819e-05	93	0.381	12	AIGD	
Compound_DB00690	Flurazepam	3.173180851634722e-05	94	0.289	20	AIGD	
Compound_DB00628	Clorazepate	3.1719942268797804e-05	95	0.362	15	AIGD	
Compound_DB01567	Fludiazepam	3.068051230382367e-05	96	0.0877	48	AIGD	
Compound_DB00186	Lorazepam	3.0433985360006783e-05	97	0.489	5	AIGD	11.0
Compound_DB01588	Prazepam	3.0097088281902334e-05	99	0.0829	51	AIGD	
Compound_DB00801	Halazepam	2.8999111453857663e-05	100	0.0978	45	AIGD	
Compound_DB01544	Flunitrazepam	2.8113367510360028e-05	101	0.0756	58	AIGD	
Compound_DB01154	Thiamylal	2.758795329415505e-05	102	0.0814	52	AIGD	
Compound_DB00231	Temazepam	2.6079333198501388e-05	103	0.375	13	AIGD	
Compound_DB00363	Clozapine	2.538885259211332e-05	104	0.0745	59	IGD	
Compound_DB00599	Thiopental	2.526529289064672e-05	105	0.0987	44	AIGD	1.0
Compound_DB01589	Quazepam	2.516630627906941e-05	106	0.57	2	AIGD	
Compound_DB00475	Chlordiazepoxide	2.5164915894302483e-05	107	0.282	23	AIGD	
Compound_DB00458	Imipramine	2.258704010236408e-05	108	0.0664	63	IGD	
Compound_DB00546	Adinazolam	2.1811907823748208e-05	109	0.0777	56	AIGD	
Compound_DB01559	Clotiazepam	2.0888515267213703e-05	114	0.103	40	AIGD	
Compound_DB01587	Ketazolam	2.015626352047203e-05	116	0.0614	65	AIGD	
Compound_DB01151	Desipramine	1.938674563210549e-05	119	0.0308	94	IGD	
Compound_DB00188	Bortezomib	1.873989595053264e-05	124	0.0383	80	UNKD	
Compound_DB01595	Nitrazepam	1.727263663215835e-05	134	0.104	38	AIGD	
Compound_DB00408	Loxapine	1.6436383974308105e-05	136	0.0343	85	IGD	
Compound_DB00540	Nortriptyline	1.6344539510888653e-05	138	0.056	67	IGD	
Compound_DB01242	Clomipramine	1.5557672398077904e-05	140	0.0554	68	IGD	
Compound_DB01594	Cinolazepam	1.5431066814155962e-05	141	0.0814	53	AIGD	
Compound_DB00780	Phenelzine	1.39047996198498e-05	150	0.0374	81	IGD	
Compound_DB01558	Bromazepam	1.388521079451835e-05	151	0.127	32	AIGD	
Compound_DB01247	Isocarboxazid	1.2450786523354571e-05	163	0.0383	79	IGD	
Compound_DB00906	Tiagabine	1.0307035068089682e-05	191	0.284	21	AIGD	1.0
Compound_DB00543	Amoxapine	9.218929583477768e-06	207	0.0327	90	IGD	
Compound_DB00310	Chlorthalidone	8.621476992043585e-06	216	0.0444	75	UNKD	
Compound_DB00593	Ethosuximide	8.391772703557689e-06	221	0.0725	60	AIGD	1.0
Compound_DB06637	Dalfampridine	8.249540174576427e-06	223	0.0332	86	IGD	
Compound_DB08912	Dabrafenib	8.117776265649863e-06	224	0.0306	95	UNKD	
Compound_DB00808	Indapamide	7.978833576682942e-06	229	0.0437	76	AIGD	
Compound_DB00753	Isoflurane	5.399876224517031e-06	290	0.079	55	AIGD	
Compound_DB01043	Memantine	5.1126735279649564e-06	299	0.0303	97	IGD	2.0
Compound_DB00659	Acamprosate	4.690318214820956e-06	312	0.0296	99	UNKD	
Compound_DB01189	Desflurane	4.638729731860254e-06	314	0.0899	47	AIGD	
Compound_DB01236	Sevoflurane	4.2666991604665225e-06	330	0.1	42	UNKD	
Compound_DB00243	Ranolazine	4.072847938591287e-06	336	0.0327	89	AIGD	
Compound_DB01355	Hexobarbital	4.018965901546488e-06	338	0.0346	84	AIGD	
Compound_DB00228	Enflurane	3.976612334384518e-06	343	0.0503	70	UNKD	
Compound_DB00908	Quinidine	3.5480032049252534e-06	384	0.077	57	AIGD	
Compound_DB01198	Zopiclone	3.1670869455900843e-06	411	0.0329	88	AIGD	
Compound_DB00402	Eszopiclone	3.123512391420381e-06	414	0.0315	93	AIGD	
Compound_DB00292	Etomidate	2.5277038691656406e-06	466	0.0577	66	AIGD	
Compound_DB01144	Diclofenamide	2.4502792533983546e-06	475	0.0371	82	AIGD	
Compound_DB00181	Baclofen	2.3046267364321748e-06	492	0.0325	91	IGD	
