node_id	name	MXR_score	MXR_rank	Hetionet_score	Hetionet_rank	category	phcodb
Compound_DB00996	Gabapentin	0.0011805706911887	0	0.477	6	AIGD	DM
Compound_DB00313	Valproic Acid	0.0011089308748474	1	0.409	10	AIGD	DM
Compound_DB00273	Topiramate	0.0011033290814298	2	0.603	0	AIGD	DM
Compound_DB00252	Phenytoin	0.0010420738406245	3	0.362	14	AIGD	DM
Compound_DB00564	Carbamazepine	0.0010235671283105	4	0.341	18	AIGD	DM
Compound_DB01174	Phenobarbital	0.001017595096746	5	0.0971	46	AIGD	DM
Compound_DB01068	Clonazepam	0.0010130456486212	6	0.354	16	AIGD	DM
Compound_DB06218	Lacosamide	0.0010045478658248	7	0.248	25	AIGD	DM
Compound_DB00347	Trimethadione	0.0010042899805213	8	0.0701	61	AIGD	DM
Compound_DB00230	Pregabalin	0.0009977839993263	9	0.0347	83	AIGD	DM
Compound_DB00555	Lamotrigine	0.0009909126290768	11	0.222	27	AIGD	DM
Compound_DB00794	Primidone	0.0009897583489984	12	0.494	4	AIGD	DM
Compound_DB00829	Diazepam	0.0009897175843641	13	0.46	7	AIGD	DM
Compound_DB00819	Acetazolamide	0.0009892731525371	14	0.0527	69	AIGD	DM
Compound_DB00349	Clobazam	0.0009879884460288	15	0.214	28	AIGD	DM
Compound_DB00776	Oxcarbazepine	0.0009845065073061	16	0.354	17	AIGD	DM
Compound_DB00683	Midazolam	0.0009791919154102	17	0.33	19	AIGD	DM
Compound_DB01351	Amobarbital	0.000978088864227	18	0.085	49	AIGD	DM
Compound_DB01320	Fosphenytoin	0.0009731570074886	19	0.246	26	AIGD	DM
Compound_DB00949	Felbamate	0.0009731090721058	20	0.282	22	AIGD	DM
Compound_DB00909	Zonisamide	0.0009726002022995	21	0.127	33	AIGD	DM
Compound_DB01202	Levetiracetam	0.0009623476732593	22	0.123	34	AIGD	DM
Compound_DB06201	Rufinamide	0.0009548268460197	24	0.0305	96	AIGD	DM
Compound_DB00617	Paramethadione	0.0001678332808542	27	0.0469	73	AIGD	
Compound_DB06716	Fospropofol	0.0001661290073203	28	0.102	41	AIGD	
Compound_DB00703	Methazolamide	0.0001656380104876	29	0.0657	64	AIGD	
Compound_DB00241	Butalbital	0.00015557085951	32	0.0833	50	AIGD	
Compound_DB00321	Amitriptyline	0.0001466219808871	35	0.252	24	IGD	
Compound_DB00434	Cyproheptadine	0.0001429037193875	40	0.0397	78	IGD	
Compound_DB01435	Antipyrine	0.0001399720519756	41	0.0401	77	IGD	
Compound_DB00661	Verapamil	0.0001344764756641	47	0.0463	74	AIGD	
Compound_DB00849	Methylphenobarbital	8.30163091923919e-05	64	0.114	36	AIGD	
Compound_DB05246	Methsuximide	7.375578408704849e-05	65	0.434	8	AIGD	
Compound_DB00745	Modafinil	5.75421428138194e-05	67	0.0503	71	AIGD	
Compound_DB01121	Phenacemide	5.586253275902757e-05	69	0.0324	92	AIGD	
Compound_DB01437	Glutethimide	5.24983536414593e-05	71	0.0805	54	UNKD	
Compound_DB00754	Ethotoin	5.2434513375409146e-05	72	0.589	1	AIGD	
Compound_DB00832	Phensuximide	4.786999584831723e-05	73	0.0487	72	AIGD	
Compound_DB00312	Pentobarbital	4.438770601581664e-05	75	0.147	29	AIGD	
Compound_DB00237	Butabarbital	4.40168532388723e-05	76	0.133	30	AIGD	
Compound_DB00306	Talbutal	4.399411931400425e-05	77	0.115	35	AIGD	
Compound_DB00418	Secobarbital	4.273947351329066e-05	78	0.132	31	AIGD	
Compound_DB01353	Butethal	4.241535262876197e-05	80	0.104	39	AIGD	
Compound_DB01352	Aprobarbital	4.2247348983624446e-05	81	0.0995	43	AIGD	
Compound_DB01354	Heptabarbital	3.646313910879027e-05	88	0.107	37	AIGD	
Compound_DB00404	Alprazolam	3.313431886873518e-05	90	0.565	3	AIGD	
Compound_DB00897	Triazolam	3.229045373086817e-05	91	0.402	11	AIGD	
Compound_DB01215	Estazolam	3.227133719274374e-05	92	0.43	9	AIGD	
Compound_DB00842	Oxazepam	3.216236592523819e-05	93	0.381	12	AIGD	
Compound_DB00690	Flurazepam	3.173180851634722e-05	94	0.289	20	AIGD	
Compound_DB00628	Clorazepate	3.1719942268797804e-05	95	0.362	15	AIGD	
Compound_DB01567	Fludiazepam	3.068051230382367e-05	96	0.0877	48	AIGD	
Compound_DB00186	Lorazepam	3.0433985360006783e-05	97	0.489	5	AIGD	
Compound_DB01588	Prazepam	3.0097088281902334e-05	99	0.0829	51	AIGD	
