1:2112500:2342500	1:2697500:3357500
1:2697500:3357500	1:5540000:6022500
1:5540000:6022500	1:6752500:7000000
1:6752500:7000000	1:7722500:7830000
1:7722500:7830000	1:8025625:8403125
1:8025625:8403125	1:8417500:8575000
1:8417500:8575000	1:8597500:8952500
1:8597500:8952500	1:9566250:9662500
1:9566250:9662500	1:11100000:11295000
1:11100000:11295000	1:11300000:11712500
1:11300000:11712500	1:12082500:12287500
1:12082500:12287500	1:12300000:13340000
1:12300000:13340000	1:13630000:14152500
1:13630000:14152500	1:14157500:14290000
1:14157500:14290000	1:15450000:15645000
1:15450000:15645000	1:15863125:16097500
1:15863125:16097500	1:16117500:16377500
1:16117500:16377500	1:16382500:16864375
1:16382500:16864375	1:17377500:17740000
1:17377500:17740000	1:17788750:17970000
1:17788750:17970000	1:17975000:18793125
1:17975000:18793125	1:18902500:19197500
1:18902500:19197500	1:19202500:19386875
1:19202500:19386875	1:19395625:19575000
1:19395625:19575000	1:19644375:20032500
1:19644375:20032500	1:20832500:20997500
1:20832500:20997500	1:21002500:21526250
1:21002500:21526250	1:21992500:22325000
1:21992500:22325000	1:22710000:22982500
1:22710000:22982500	1:22987500:23277500
1:22987500:23277500	1:24092500:24265000
1:24092500:24265000	1:24977500:25162500
1:24977500:25162500	1:25167500:25581250
1:25167500:25581250	1:25633750:26145000
1:25633750:26145000	1:26150000:26360000
1:26150000:26360000	1:26487500:26807500
1:26487500:26807500	1:26827500:27240625
1:26827500:27240625	1:27430000:27627500
1:27430000:27627500	1:27720000:28040000
1:27720000:28040000	1:28145000:28562500
1:28145000:28562500	1:31185000:31417500
1:31185000:31417500	1:32950000:33160000
1:32950000:33160000	1:33318125:33557500
1:33318125:33557500	1:34102500:35275000
1:34102500:35275000	1:36027500:36267500
1:36027500:36267500	1:36272500:36547500
1:36272500:36547500	1:36620000:36781250
1:36620000:36781250	1:36793750:36920000
1:36793750:36920000	1:36942500:37905000
1:36942500:37905000	1:37910000:38165000
1:37910000:38165000	1:38465000:39317500
1:38465000:39317500	1:39517500:39742500
1:39517500:39742500	1:39767500:40030000
1:39767500:40030000	1:40042500:40240000
1:40042500:40240000	1:40250000:40477500
1:40250000:40477500	1:41721250:41922500
1:41721250:41922500	1:42792500:43230000
1:42792500:43230000	1:43235000:43362500
1:43235000:43362500	1:43367500:43645000
1:43367500:43645000	1:43660000:43955625
1:43660000:43955625	1:44165000:44452500
1:44165000:44452500	1:44657500:44817500
1:44657500:44817500	1:44822500:45182500
1:44822500:45182500	1:45472500:45795000
1:45472500:45795000	1:45800000:46060000
1:45800000:46060000	1:46485000:46698750
1:46485000:46698750	1:47745000:48257500
1:47745000:48257500	1:48542500:48712500
1:48542500:48712500	1:48717500:48972500
1:48717500:48972500	1:48977500:49392500
1:48977500:49392500	1:49397500:50472500
1:49397500:50472500	1:50540000:50822500
1:50540000:50822500	1:50827500:51202500
1:50827500:51202500	1:51207500:51707500
1:51207500:51707500	1:51997500:52262500
1:51997500:52262500	1:52820000:53157500
1:52820000:53157500	1:53484375:53697500
1:53484375:53697500	1:53937500:54297500
1:53937500:54297500	1:54312500:54427500
1:54312500:54427500	1:54495000:55027500
1:54495000:55027500	1:55502500:55732500
1:55502500:55732500	1:55817500:57110000
1:55817500:57110000	1:57280000:58735000
1:57280000:58735000	1:58972500:59132500
1:58972500:59132500	1:59137500:59765000
1:59137500:59765000	1:59770000:60250000
1:59770000:60250000	1:60422500:61295000
1:60422500:61295000	1:61300000:61502500
1:61300000:61502500	1:62595000:62892500
1:62595000:62892500	1:62897500:63300000
1:62897500:63300000	1:63305000:63774375
1:63305000:63774375	1:64012500:64722500
1:64012500:64722500	1:65326250:65517500
1:65326250:65517500	1:65522500:65685000
1:65522500:65685000	1:65690000:65897500
1:65690000:65897500	1:65912500:66157500
1:65912500:66157500	1:66162500:66412500
1:66162500:66412500	1:66417500:66711875
1:66417500:66711875	1:66717500:66965625
1:66717500:66965625	1:66971875:67222500
1:66971875:67222500	1:67677500:67977500
1:67677500:67977500	1:67982500:68242500
1:67982500:68242500	1:68247500:68562500
1:68247500:68562500	1:68567500:68970000
1:68567500:68970000	1:68975000:70295000
1:68975000:70295000	1:70432500:70587500
1:70432500:70587500	1:70592500:70997500
1:70592500:70997500	1:71010000:71552500
1:71010000:71552500	1:71557500:72007500
1:71557500:72007500	1:72012500:72627500
1:72012500:72627500	1:73597500:74252500
1:73597500:74252500	1:74330000:75192500
1:74330000:75192500	1:75197500:75682500
1:75197500:75682500	1:75687500:76175000
1:75687500:76175000	1:76597500:77597500
1:76597500:77597500	1:77602500:78027500
1:77602500:78027500	1:78204375:78585000
1:78204375:78585000	1:78595000:79172500
1:78595000:79172500	1:79202500:79885000
1:79202500:79885000	1:80887500:82240000
1:80887500:82240000	1:82322500:83788125
1:82322500:83788125	1:83875625:84336875
1:83875625:84336875	1:84347500:84562500
1:84347500:84562500	1:84580000:84910000
1:84580000:84910000	1:85417500:85557500
1:85417500:85557500	1:85562500:85742500
1:85562500:85742500	1:85747500:86110000
1:85747500:86110000	1:86300000:86827500
1:86300000:86827500	1:86832500:87167500
1:86832500:87167500	1:87172500:87567500
1:87172500:87567500	1:87572500:87775000
1:87572500:87775000	1:87810000:88660000
1:87810000:88660000	1:89096875:89365000
1:89096875:89365000	1:89370000:89930000
1:89370000:89930000	1:89935000:90082500
1:89935000:90082500	1:90087500:90257500
1:90087500:90257500	1:90270000:90507500
1:90270000:90507500	1:90512500:91045000
1:90512500:91045000	1:91162500:91332500
1:91162500:91332500	1:91358125:91747500
1:91358125:91747500	1:91917500:92432500
1:91917500:92432500	1:92437500:92762500
1:92437500:92762500	1:92767500:93197500
1:92767500:93197500	1:94072500:94377500
1:94072500:94377500	1:94382500:94820625
1:94382500:94820625	1:94942500:95305000
1:94942500:95305000	1:95310000:95590000
1:95310000:95590000	1:95618125:95722500
1:95618125:95722500	1:96655000:96985000
1:96655000:96985000	1:97007500:97415000
1:97007500:97415000	1:98552500:98992500
1:98552500:98992500	1:98997500:99590000
1:98997500:99590000	1:99602500:100175000
1:99602500:100175000	1:100917500:101362500
1:100917500:101362500	1:101367500:101842500
1:101367500:101842500	1:101912500:103435000
