node_id	name	name	MXR_score	MXR_rank
Compound_DB00818	Propofol		0.0009932320787261	10.0
Compound_DB01080	Vigabatrin		0.0009581763208168	23.0
Compound_DB01031	Ethinamate		0.0001967983541227	25.0
Compound_DB00517	Anisotropine Methylbromide		0.0001856575075325	26.0
Compound_DB00669	Sumatriptan		0.0001601737116225	30.0
Compound_DB00918	Almotriptan		0.0001590919769305	31.0
Compound_DB00216	Eletriptan		0.0001545476447532	33.0
Compound_DB00315	Zolmitriptan		0.0001508792913948	34.0
Compound_DB00953	Rizatriptan		0.0001463297812066	36.0
Compound_DB00696	Ergotamine		0.0001453764506698	37.0
Compound_DB00952	Naratriptan		0.0001439879906706	38.0
Compound_DB00924	Cyclobenzaprine		0.0001435880178882	39.0
Compound_DB00320	Dihydroergotamine		0.0001364706405777	42.0
Compound_DB00353	Methylergometrine		0.0001358865734685	43.0
Compound_DB00788	Naproxen		0.0001356406542999	44.0
Compound_DB00586	Diclofenac		0.0001356312186291	45.0
Compound_DB01173	Orphenadrine		0.0001352452938742	46.0
Compound_DB00697	Tizanidine		0.0001338388689708	48.0
Compound_DB00328	Indomethacin		0.0001336496277738	49.0
Compound_DB00571	Propranolol		0.0001334094951022	50.0
Compound_DB00201	Caffeine		0.0001333606384505	51.0
Compound_DB00945	Acetylsalicylic acid		0.0001328981055889	52.0
Compound_DB00635	Prednisone		0.0001325442914482	53.0
Compound_DB01233	Metoclopramide		0.0001324185253009	54.0
Compound_DB00316	Acetaminophen		0.0001318867890311	55.0
Compound_DB00998	Frovatriptan		0.0001317998867294	56.0
Compound_DB00373	Timolol		0.000130996283715	57.0
Compound_DB00149	L-Leucine		0.0001066676603423	58.0
Compound_DB00130	L-Glutamine		0.0001033138100431	59.0
Compound_DB00161	L-Valine		0.0001029817481698	60.0
Compound_DB06775	Carglumic Acid		0.0001000128516056	61.0
Compound_DB00205	Pyrimethamine		8.342324643058051e-05	62.0
Compound_DB00384	Triamterene		8.31376205503534e-05	63.0
Compound_DB00498	Phenindione		6.159415712695735e-05	66.0
Compound_DB00120	L-Phenylalanine		5.634374535235032e-05	68.0
Compound_DB00575	Clonidine		5.359972587559517e-05	70.0
Compound_DB00676	Benzyl Benzoate		4.5835969028408734e-05	74.0
Compound_DB00423	Methocarbamol		4.2540411537750536e-05	79.0
Compound_DB00812	Phenylbutazone		4.072753929420382e-05	82.0
Compound_DB00268	Ropinirole		4.026381925764528e-05	83.0
Compound_DB01235	L-DOPA		3.878424411508466e-05	84.0
Compound_DB00413	Pramipexole		3.830903205844356e-05	85.0
Compound_DB00190	Carbidopa		3.776793496430136e-05	86.0
Compound_DB00193	Tramadol		3.7536997180225547e-05	87.0
Compound_DB00561	Doxapram		3.500135366405555e-05	89.0
Compound_DB01511	Delorazepam		3.042071184176986e-05	98.0
Compound_DB01545	Ethyl loflazepate		2.159089486031773e-05	110.0
Compound_DB01065	Melatonin		2.1309825173923507e-05	111.0
Compound_DB01489	Camazepam		2.111998801499269e-05	112.0
Compound_DB00991	Oxaprozin		2.104084786375508e-05	113.0
Compound_DB01399	Salsalate		2.029248586768736e-05	115.0
Compound_DB01577	Methamphetamine		1.996470050684489e-05	117.0
Compound_DB01200	Bromocriptine		1.9662769880970724e-05	118.0
Compound_DB06802	Nepafenac		1.93702238756224e-05	120.0
Compound_DB00726	Trimipramine		1.914985267423936e-05	121.0
Compound_DB00182	Amphetamine		1.907907456008142e-05	122.0
Compound_DB01576	Dextroamphetamine		1.892497826023936e-05	123.0
Compound_DB01069	Promethazine		1.863152734185097e-05	125.0
Compound_DB00420	Promazine		1.8548268785994465e-05	126.0
Compound_DB00682	Warfarin		1.8365391031846664e-05	127.0
Compound_DB01246	Alimemazine		1.8237836702385112e-05	128.0
Compound_DB00332	Ipratropium bromide		1.7979101844863098e-05	129.0
Compound_DB01075	Diphenhydramine		1.7933232592185552e-05	130.0
Compound_DB08996	Dimetacrine		1.7897820460990676e-05	131.0
Compound_DB00902	Methdilazine		1.782191918398189e-05	132.0
Compound_DB00725	Homatropine Methylbromide		1.7392580521215807e-05	133.0
Compound_DB01239	Chlorprothixene		1.6503947870475467e-05	135.0
Compound_DB00751	Epinastine		1.6348485385822772e-05	137.0
Compound_DB01346	Quinidine barbiturate		1.5684477092543834e-05	139.0
Compound_DB01273	Varenicline		1.5189320995593256e-05	142.0
Compound_DB01397	Magnesium salicylate		1.5122679236299593e-05	143.0
Compound_DB09017	Brotizolam		1.50228519805738e-05	144.0
Compound_DB00865	Benzphetamine		1.4899883315115626e-05	145.0
Compound_DB01030	Topotecan		1.4763056714949097e-05	146.0
Compound_DB01255	Lisdexamfetamine		1.4266753310105142e-05	147.0
Compound_DB00168	Aspartame		1.409039750025368e-05	148.0
Compound_DB01553	Cloxazolam		1.4006428577599248e-05	149.0
Compound_DB00731	Nateglinide		1.3819586543823312e-05	152.0
Compound_DB00191	Phentermine		1.3751417385967676e-05	153.0
Compound_DB00514	Dextromethorphan		1.340801726089881e-05	154.0
Compound_DB00217	Bethanidine		1.3196932129767484e-05	155.0
Compound_DB00579	Mazindol		1.3024352860570896e-05	156.0
Compound_DB00946	Phenprocoumon		1.2906928089518464e-05	157.0
Compound_DB01365	Mephentermine		1.2869708045201298e-05	158.0
Compound_DB00570	Vinblastine		1.2733059915780531e-05	159.0
Compound_DB00970	Dactinomycin		1.2690042876147937e-05	160.0
Compound_DB00914	Phenformin		1.2589737335107303e-05	161.0
Compound_DB00997	Doxorubicin		1.246426301960784e-05	162.0
Compound_DB00262	Carmustine		1.22816094017634e-05	164.0
